"S 1080-Y60R","s-1080-y60r","#da5d23"
"S 2070-Y60R","s-2070-y60r","#c05a2f"
"S 2075-Y60R","s-2075-y60r","#c25425"
"S 2570-Y60R","s-2570-y60r","#b45128"
"S 0505-Y70R","s-0505-y70r","#f7eae0"
"S 1010-Y70R","s-1010-y70r","#ebd0c1"
"S 1510-Y70R","s-1510-y70r","#dcc5b7"
"S 0804-Y70R","s-0804-y70r","#eee5dd"
"S 0907-Y70R","s-0907-y70r","#eddbcf"
"S 1005-Y70R","s-1005-y70r","#e6d9cf"
"S 1505-Y70R","s-1505-y70r","#d9cfc7"
"S 2005-Y70R","s-2005-y70r","#cdc0b7"
"S 0510-Y70R","s-0510-y70r","#fde2d2"
"S 1010-Y70R","s-1010-y70r","#ebd0c1"
"S 2010-Y70R","s-2010-y70r","#d2baac"
"S 3010-Y70R","s-3010-y70r","#b8a195"
"S 4010-Y70R","s-4010-y70r","#a58d83"
"S 5010-Y70R","s-5010-y70r","#8e766c"
"S 6010-Y70R","s-6010-y70r","#786259"
"S 7010-Y70R","s-7010-y70r","#5e4941"
"S 8010-Y70R","s-8010-y70r","#47352e"
"S 0515-Y70R","s-0515-y70r","#fad6c5"
"S 1015-Y70R","s-1015-y70r","#ecc9b8"
"S 1515-Y70R","s-1515-y70r","#debbab"
"S 1510-Y70R","s-1510-y70r","#dcc4b7"
"S 2010-Y70R","s-2010-y70r","#d2b9ac"
"S 3010-Y70R","s-3010-y70r","#b8a195"
"S 5010-Y70R","s-5010-y70r","#8e766c"
"S 6010-Y70R","s-6010-y70r","#786259"
"S 0520-Y70R","s-0520-y70r","#fbcdb9"
"S 1020-Y70R","s-1020-y70r","#eec0ac"
"S 2020-Y70R","s-2020-y70r","#d4a997"
"S 3020-Y70R","s-3020-y70r","#be9484"
"S 4020-Y70R","s-4020-y70r","#a57c6d"
"S 5020-Y70R","s-5020-y70r","#91695b"
