"DN-01-87 rotgrau 5","dn-01-87-rotgrau-5","#faf3ee"
"C0-53-38 rubin 3","c0-53-38-rubin-3","#c5474b"
"C3-56-32 rubin 2","c3-56-32-rubin-2","#a8413d"
"C1-55-25 rubin 1","c1-55-25-rubin-1","#95393b"
"C7-26-67 ziegel 5","c7-26-67-ziegel-5","#ffae95"
"C4-43-54 ziegel 4","c4-43-54-ziegel-4","#f07664"
"C2-53-40 ziegel 3","c2-53-40-ziegel-3","#c9514b"
"C5-61-33 ziegel 2","c5-61-33-ziegel-2","#b3423c"
"C4-53-28 ziegel 1","c4-53-28-ziegel-1","#95433d"
"DN-02-81 orangegrau 5","dn-02-81-orangegrau-5","#f2e7e1"
"D5-05-75 orangegrau 4","d5-05-75-orangegrau-4","#decec4"
"D4-05-66 orangegrau 3","d4-05-66-orangegrau-3","#c4b5ad"
"D6-05-55 orangegrau 2","d6-05-55-orangegrau-2","#a59991"
"D5-05-45 orangegrau 1","d5-05-45-orangegrau-1","#8c817b"
"EN-02-85 lehm 5 ","en-02-85-lehm-5","#f4ede7"
"E4-05-76 lehm 4 ","e4-05-76-lehm-4","#ded2c7"
"E4-05-65 lehm 3 ","e4-05-65-lehm-3","#c2b7ad"
"E4-05-55 lehm 2 ","e4-05-55-lehm-2","#a29991"
"E4-06-35 lehm 1 ","e4-06-35-lehm-1","#746d67"
"EN-02-87 sandstein 5","en-02-87-sandstein-5","#fcf4ec"
"E8-07-77 sandstein 4","e8-07-77-sandstein-4","#e3d5c5"
"E7-10-71 sandstein 3","e7-10-71-sandstein-3","#d7c4ae"
"E7-10-59 sandstein 2","e7-10-59-sandstein-2","#b8a795"
"E7-10-40 sandstein 1","e7-10-40-sandstein-1","#817568"
"DN-02-86 caffe latte 5","dn-02-86-caffe-latte-5","#fdf2ea"
"E9-08-80 caffe latte 4","e9-08-80-caffe-latte-4","#eeddc8"
"E8-15-66 caffe latte 3","e8-15-66-caffe-latte-3","#ceb698"
"E8-15-56 caffe latte 2","e8-15-56-caffe-latte-2","#b09a81"
"E8-15-44 caffe latte 1","e8-15-44-caffe-latte-1","#8f7e6b"
"E8-09-84 mokka 5","e8-09-84-mokka-5","#fee7d0"
"E4-15-75 mokka 4","e4-15-75-mokka-4","#ecccad"
"E4-25-65 mokka 3","e4-25-65-mokka-3","#daad81"
"E3-26-55 mokka 2","e3-26-55-mokka-2","#bd946f"
"E3-35-29 mokka 1","e3-35-29-mokka-1","#795a3f"
"E5-11-84 zimt 5 ","e5-11-84-zimt-5","#ffe5c7"
"E1-14-79 zimt 4 ","e1-14-79-zimt-4","#fad4b7"
"E1-24-66 zimt 3 ","e1-24-66-zimt-3","#deaf89"
"E0-24-56 zimt 2 ","e0-24-56-zimt-2","#c09372"
"E0-33-39 zimt 1 ","e0-33-39-zimt-1","#956c4e"
"D7-10-81 lachs 5","d7-10-81-lachs-5","#ffdeca"
"D2-16-75 lachs 4","d2-16-75-lachs-4","#fac7b0"
"D2-28-68 lachs 3","d2-28-68-lachs-3","#faab89"
"D2-35-55 lachs 2","d2-35-55-lachs-2","#d38766"
"D0-38-32 lachs 1","d0-38-32-lachs-1","#915644"
"D5-18-76 terrakotta 5","d5-18-76-terrakotta-5","#ffcbab"
"D6-33-67 terrakotta 4","d6-33-67-terrakotta-4","#ffac7e"
"D7-51-61 terrakotta 3","d7-51-61-terrakotta-3","#f68e52"
"D6-51-50 terrakotta 2","d6-51-50-terrakotta-2","#cb7647"
"D6-46-39 terrakotta 1","d6-46-39-terrakotta-1","#a16140"
"E0-25-75 mango 5","e0-25-75-mango-5","#ffc497"
"E0-40-67 mango 4","e0-40-67-mango-4","#fdaa6d"
"E0-52-65 mango 3","e0-52-65-mango-3","#ff9b4f"
"E1-69-51 mango 2","e1-69-51-mango-2","#d57831"
"D9-50-40 mango 1","d9-50-40-mango-1","#a4653b"
"E4-19-80 mandarine 5","e4-19-80-mandarine-5","#ffd9af"
"E4-30-74 mandarine 4","e4-30-74-mandarine-4","#fcc287"
"E4-49-68 mandarine 3","e4-49-68-mandarine-3","#feac57"
"E3-61-60 mandarine 2","e3-61-60-mandarine-2","#ea933c"
"E4-59-49 mandarine 1","e4-59-49-mandarine-1","#be7a37"
"E9-29-79 safran 5","e9-29-79-safran-5","#ffd592"
"E7-36-76 safran 4","e7-36-76-safran-4","#ffc77a"
"E8-49-72 safran 3","e8-49-72-safran-3","#ffbb55"
"E7-58-65 safran 2","e7-58-65-safran-2","#f1a43b"
"E6-63-53 safran 1","e6-63-53-safran-1","#cf8834"
"FN-02-84 graugelb 5","fn-02-84-graugelb-5","#eeeae3"
"FN-02-75 graugelb 4","fn-02-75-graugelb-4","#ddd9d2"
"FN-02-66 graugelb 3","fn-02-66-graugelb-3","#bfbbb4"
"FN-02-57 graugelb 2","fn-02-57-graugelb-2","#a5a29d"
"FN-02-47 graugelb 1","fn-02-47-graugelb-1","#8b8885"
"F6-05-83 schiefer 5","f6-05-83-schiefer-5","#efe8db"
"F5-05-75 schiefer 4","f5-05-75-schiefer-4","#d9d2c3"
"F6-05-70 schiefer 3","f6-05-70-schiefer-3","#cac3b7"
"F5-05-60 schiefer 2","f5-05-60-schiefer-2","#aea99e"
"F5-05-40 schiefer 1","f5-05-40-schiefer-1","#7c776f"
"F5-04-85 umbra 5","f5-04-85-umbra-5","#f8efe0"
"F6-07-82 umbra 4","f6-07-82-umbra-4","#f1e6d2"
"F4-11-78 umbra 3","f4-11-78-umbra-3","#eadabe"
"F4-10-70 umbra 2","f4-10-70-umbra-2","#d1c4ad"
