"Trimetal J120C","trimetal-j120c","#b1e1ca"
"Trimetal J125P","trimetal-j125p","#004c2d"
"Trimetal J234E","trimetal-j234e","#71c9a7"
"Trimetal J301N","trimetal-j301n","#4c4f4d"
"Trimetal J413P","trimetal-j413p","#0a4130"
"Trimetal J420L","trimetal-j420l","#417865"
"Trimetal J502B","trimetal-j502b","#e1e5e3"
"Trimetal J712B","trimetal-j712b","#cbede1"
"Trimetal J744L","trimetal-j744l","#007f61"
"Trimetal J806C","trimetal-j806c","#d5e4dd"
"Trimetal J811B","trimetal-j811b","#c9e5db"
"Trimetal J908B","trimetal-j908b","#d4ece5"
"Trimetal J927J","trimetal-j927j","#459987"
"Trimetal K003D","trimetal-k003d","#c6cdcb"
"Trimetal K004B","trimetal-k004b","#e2ecea"
"Trimetal K013L","trimetal-k013l","#496d65"
"Trimetal K016C","trimetal-k016c","#b1ddd2"
"Trimetal K101D","trimetal-k101d","#c6cac9"
"Trimetal K124F","trimetal-k124f","#75bdb0"
"Trimetal K143J","trimetal-k143j","#008f7e"
"Trimetal K340H","trimetal-k340h","#00a696"
"Trimetal K506C","trimetal-k506c","#d4e2dd"
"Trimetal K514C","trimetal-k514c","#b7e3db"
"Trimetal K534F","trimetal-k534f","#4dc1b6"
"Trimetal K605Q","trimetal-k605q","#172d29"
"Trimetal K611D","trimetal-k611d","#accbc8"
"Trimetal K613C","trimetal-k613c","#bbe1db"
"Trimetal K624D","trimetal-k624d","#90d8d0"
"Trimetal K625L","trimetal-k625l","#287a74"
"Trimetal K627J","trimetal-k627j","#328e87"
"Trimetal K713P","trimetal-k713p","#00423f"
"Trimetal K716J","trimetal-k716j","#5e8a87"
"Trimetal K802D","trimetal-k802d","#c7ccc9"
"Trimetal K813G","trimetal-k813g","#81a6a4"
"Trimetal K819L","trimetal-k819l","#3b736f"
"Trimetal K901C","trimetal-k901c","#d7dada"
"Trimetal K920E","trimetal-k920e","#8dc7c5"
"Trimetal K921P","trimetal-k921p","#004e4d"
"Trimetal K924G","trimetal-k924g","#69b3b2"
"Trimetal L103B","trimetal-l103b","#dbe5e3"
"Trimetal L120J","trimetal-l120j","#5a9495"
"Trimetal L312C","trimetal-l312c","#badddd"
"Trimetal L406B","trimetal-l406b","#d5e7e6"
"Trimetal L424N","trimetal-l424n","#005a60"
"Trimetal L436K","trimetal-l436k","#008692"
"Trimetal L528L","trimetal-l528l","#007576"
"Trimetal L612D","trimetal-l612d","#b5d6d9"
"Trimetal L618G","trimetal-l618g","#78acb1"
"Trimetal L623E","trimetal-l623e","#8cced5"
"Trimetal L629F","trimetal-l629f","#62bdc8"
"Trimetal L634J","trimetal-l634j","#009ba9"
"Trimetal L702M","trimetal-l702m","#54595a"
"Trimetal L703H","trimetal-l703h","#909798"
"Trimetal L709B","trimetal-l709b","#cde6e8"
"Trimetal L808D","trimetal-l808d","#c0d5d7"
"Trimetal L912L","trimetal-l912l","#49696f"
