"Purple Phantom","1001-3B","rgb(145, 122, 164)"
"Dusky Purple","1003-5A","rgb(131, 100, 132)"
"Sonic Plum","4002-10C","rgb(129, 90, 146)"
"Vivid Blue","4006-10C","rgb(62, 106, 165)"
"Bluer Than Blue","4006-8C","rgb(79, 102, 150)"
"Regal","4005-8C","rgb(86, 101, 154)"
"Indigo","4003-8C","rgb(88, 99, 146)"
"Purple Frenzy","4004-10C","rgb(97, 97, 155)"
"Rollick","4003-10C","rgb(116, 90, 146)"
"Cosmic Berry","4001-10C","rgb(135, 85, 140)"
