"Black Box","MP33758","#0a1b20"
"Pale Bronze Metallic","MP41279","#958775"
"Pastel Orange","MP26406","#ffb15a"
"Peach Blossom","MP58094","#d37463"
"Persimmon","MP58765","#c2382a"
"Prickly Pear","MP56060","#575b0f"
"Proseco Blue Steel","MP48108SP","#807f87"
"Proseco Brass Alloy","MP48103SP","#b0a692"
"Proseco Bronze Hint","MP48105SP","#b39e93"
"Proseco Gold Standard","MP48101SP","#aba296"
"Proseco Golden Glow","MP48107SP","#afa28d"
"Proseco Polished Pewter","MP48104SP ","#999087"
"Proseco Silver Rose","MP48102SP","#b6ada3"
"Rally Red","MP24846","#be2446"
"Raspberry Metallic","MP19759","#8b2348"
"Rich Brown","MP10217","#4a2b22"
"Rose Magenta","MP25248","#872650"
"Rose Quartz Metallic","MP47128","#c6a99e"
"Royal Blue Metallic","MP50184","#072946"
"Royal Purple","MP25956","#4a4267"
"Salmon","MP25616","#f2ae99"
"Savannah Clay","MP22823","#c18a73"
"Scandinavian Blue","MP30493","#5e5793"
"Scarlet Red","MP42212SP","#be2241"
"Schoolbus Yellow","MP55149","#e9a400"
"Sea Green","MP58098","#4db187"
"Signal Jet Black","MP41306SP","#2c2825"
"Silver Surfer Metallic","MP33172","#c0c1c3"
"Smoke Screen","MP34412","#a5a8a4"
"Snowflake","MP55685","#fcf8e2"
"Spring Green","MP26749","#689850"
"Staid Gray Metallic","MP32195","#666568"
"Stormy Blue","MP25837","#003b4f"
"Sundance Yellow","MP42218SP","#f7bc00"
"Sunrise Silver Metallic","MP55753","#dbd2b8"
"Taco Bell Violet 2","MP25834","#471f55"
"Tangerine","MP26434","#de411a"
"Taos Sand Beige","MP25829","#eacb98"
"Tropic Turquoise","MP29439","#71b8a8"
"Tucson Gold","MP46258SP","#d2a24a"
"Umbra Grey Metallic","MP28448","#8a8584"
"Very Violet","MP25502","#886ba2"
"Yellow Corn","MP28240","#f9b800"
"Yellow Petal","MP25890","#f1e459"
"Adonis Bronze Met.","MP41031","#77685d"
"Airain Bronze Met.","MP21939","#9b6451"
"Anchor Bronze Met.","MP46305","#77574f"
"Antique Bronze Mica","MP40689","#9b7e6a"
"Auric Copper Met.","MP43017","#a36941"
"Bank 1 Plaza Bronze Met.","MP45523","#7c604a"
"Beaten Bronze Met.","MP43777","#6b3929"
"Black Bronze Met.","MP41690","#3d2c29"
"Blended Bronze Met.","MP47127","#a08b72"
"Brazed Bronze Met.","MP46540","#644d49"
"Briny Bronze Met.","MP45031","#9c8c72"
"Bullet Bronze Met.","MP38641","#a3635c"
"Cabo Bronze Met.","MP38076","#823e3c"
"Chemic Bronze Met.","MP25647","#604c44"
"Choco Bronze Met.","MP56334","#533334"
"Cinnamon Copper Met.","MP41376","#884b43"
"Classic Copper Met.","MP15838","#a26a45"
"Classy Copper Met.","MP47606","#b77f58"
"Cobre Copper Met.","MP46534","#a26a41"
"Copper Alloy Met.","MP48868","#a26e4a"
"Copper Lining Met.","MP46066","#9d5936"
"Crescent Copper Met.","MP47875","#aa6549"
"Eave Copper Met.","MP48656","#ab6545"
"Ebon Bronze Met.","MP18439","#643d2d"
"Greenward Bronze Met.","MP42607","#967962"
"Hammered Copper Met.","MP21956","#ae5a44"
"Leonardo Bronze Met.","MP49025","#9b745c"
"Light Copper Met.","MP21958","#c28254"
"Mere Bronze Met.","MP41416","#665251"
"Minos Bronze Met.","MP41887","#554f48"
"Neo Bronze Met.","MP52048","#716961"
"Olden Copper Met.","MP43770","#a16a48"
"Rich Copper Met.","MP21957","#c07b56"
"Roman Gold Met.","MP27546","#d79e73"
"Rosso Gold Met.","MP21940","#a06a4d"
"Rosy Copper Met.","MP40684","#ba846e"
"Rouge Gold Met.","MP21941","#bd805e"
"Scott Bronze Met.","MP40366","#604c44"
"Soft Copper Met.","MP40495","#be8c75"
"Temple Bronze Met.","MP46765","#998b85"
"Touch O Bronze Met.","MP41254","#c9b69f"
"Warm Copper Met.","MP52234","#b97254"
"Barbary Gold Met.","MP21109","#bca370"
"Bronzegold Met.","MP23920","#815e48"
"Byzantine Gold Met.","MP21961","#cea071"
"Chestnut Gold Met.","MP48860","#8c5d48"
"Coppergold Met.","MP21248","#b7a34b"
"Cuprous Gold Met.","MP20505","#b78759"
"Desert Gold Met.","MP25466","#906442"
"Desert Sand Met.","MP20358","#a1876e"
"Dorado Gold Met.","MP20508","#b78f5f"
"Ebony Gold Met.","MP45519","#6c544a"
"Flaxen Gold Met.","MP25618","#b78759"
"Fools Gold Met.","MP21107","#c2b17c"
"Forty-Niner Gold Met.","MP20509","#c3a474"
"Fused Gold Met.","MP22827","#8f6a54"
"Ginger Gold Met.","MP44200","#96634f"
"Glazed Gold Met.","MP20561","#7c715f"
"Gold Alloy Met.","MP21111","#aa9364"
"Gold Bond Met.","MP21246","#92784c"
"Gold Chain Met.","MP21108","#bbaa71"
"Gold Dust Met.","MP28535","#c6a36f"
"Gold Foil Met.","MP20354","#bdac7d"
"Gold Metal Met.","MP38113","#c5a76c"
"Golden Brass Pearl","MP46394","#ccaf59"
"Golden Bronze Met.","MP20356","#8c7868"
"Golden Clay Met.","MP42080","#716843"
"Golden Fern Met.","MP48223","#b0a484"
"Golden Shadow Met.","MP26048","#b38c68"
"Golden Umber Met.","MP46321","#8b6852"
"Golden Vert Met.","MP35175","#a2947b"
"Guinea Gold Met.","MP21247","#a4875b"
"Heather Gold Met.","MP21110","#a38458"
"Henna Gold Met.","MP49153","#8b6852"
"Hint of Gold Pearl","MP47787","#f7eab9"
"Honeyed Gold Met.","MP25255","#ac794d"
"Inca Gold Met.","MP20503","#c4a376"
"Las Vegas Gold Met.","MP20359","#af9d77"
"Moneta Gold Met.","MP21250","#d2b680"
"Noble Gold Met.","MP20353","#b09776"
"Nutty Gold Met.","MP51325","#96634f"
"Olive Gold Met.","MP31592","#a4977a"
"Orange Gold Met.","MP21960","#bd8553"
"Pale Green Gold Met.","MP21106","#b9ae8a"
"Plaque Gold Met.","MP21962","#c29858"
"Powder Gold Met.","MP30584","#c1a577"
"Royal Gold Pearl","MP46399","#d1a152"
"Saturn Gold Met.","MP20504","#c2ac7e"
"Seared Gold Met.","MP50639","#66504a"
"Shimmer Gold Met.","MP14571","#c9ae81"
"Similoro Gold Met.","MP21249","#c89f67"
"Sonora Gold Met.","MP53227","#987c62"
"Sparkle Gold Met.","MP26659","#a3875e"
"Sungold Firemist Met.","MP18672","#bea972"
"Tawny Gold Met.","MP26264","#b38156"
"Titian Gold Met.","MP21607","#9f6f4e"
"Venerable Gold Met.","MP46490","#a28769"
