"Sto 34430","sto-34430","#616874"
"Sto 34431","sto-34431","#6c7482"
"Sto 34432","sto-34432","#88909c"
"Sto 34433","sto-34433","#9fa6b3"
"Sto 34434","sto-34434","#b3b9c2"
"Sto 34435","sto-34435","#bdc2c9"
"Sto 34436","sto-34436","#cdd2d6"
"Sto 34437","sto-34437","#dce1e2"
"Sto 34440","sto-34440","#4b607d"
"Sto 34441","sto-34441","#4b5b70"
"Sto 34442","sto-34442","#4a4f59"
"Sto 35100","sto-35100","#3075b2"
"Sto 35101","sto-35101","#4e93ca"
"Sto 35102","sto-35102","#65a3d5"
"Sto 35103","sto-35103","#89bce2"
"Sto 35104","sto-35104","#9dc6e3"
"Sto 35105","sto-35105","#b6d6ec"
"Sto 35106","sto-35106","#c1dceb"
"Sto 35107","sto-35107","#d1e5ef"
"Sto 35108","sto-35108","#ddebee"
"Sto 35109","sto-35109","#e6f0ef"
"Sto 35110","sto-35110","#6a9bc1"
"Sto 35111","sto-35111","#8bb5d2"
"Sto 35112","sto-35112","#a1c4dd"
"Sto 35113","sto-35113","#b6d2e3"
"Sto 35114","sto-35114","#c1d7e4"
"Sto 35120","sto-35120","#6f91ae"
"Sto 35121","sto-35121","#93aec2"
"Sto 35122","sto-35122","#adc1d0"
"Sto 35123","sto-35123","#c2cdd4"
"Sto 35124","sto-35124","#c8cfd2"
"Sto 35130","sto-35130","#626e7a"
"Sto 35131","sto-35131","#6b7784"
"Sto 35132","sto-35132","#8b96a3"
"Sto 35133","sto-35133","#9ca7b1"
"Sto 35134","sto-35134","#acb6bd"
"Sto 35135","sto-35135","#bcc5cc"
"Sto 35136","sto-35136","#cdd3d5"
"Sto 35137","sto-35137","#dce0e1"
"Sto 35140","sto-35140","#386892"
"Sto 35141","sto-35141","#3a4b62"
"Sto 35200","sto-35200","#2579aa"
"Sto 35201","sto-35201","#4594c1"
"Sto 35202","sto-35202","#5ca4cd"
"Sto 35203","sto-35203","#86bedd"
"Sto 35204","sto-35204","#9acbe4"
"Sto 35205","sto-35205","#b4d6e8"
"Sto 35206","sto-35206","#bfdce8"
"Sto 35207","sto-35207","#d0e5ec"
"Sto 35208","sto-35208","#dcecec"
"Sto 35209","sto-35209","#e0eae6"
"Sto 35210","sto-35210","#6399b8"
"Sto 35211","sto-35211","#89b4cd"
"Sto 35212","sto-35212","#9cc3d8"
"Sto 35213","sto-35213","#b5d3e1"
"Sto 35220","sto-35220","#5d8ca7"
"Sto 35221","sto-35221","#83abc0"
"Sto 35222","sto-35222","#a3becd"
"Sto 35223","sto-35223","#b7cbd4"
"Sto 35224","sto-35224","#c4d0d6"
"Sto 35230","sto-35230","#5d656b"
"Sto 35231","sto-35231","#76797c"
"Sto 35232","sto-35232","#7f8487"
"Sto 35233","sto-35233","#949ca0"
"Sto 35234","sto-35234","#b1b8ba"
"Sto 35235","sto-35235","#c1c6c6"
"Sto 35236","sto-35236","#d1d5d3"
"Sto 35237","sto-35237","#e4e5de"
"Sto 35240","sto-35240","#376788"
"Sto 35241","sto-35241","#344e65"
"Sto 35242","sto-35242","#44525d"
"Sto 35300","sto-35300","#287891"
"Sto 35301","sto-35301","#3a8aa4"
"Sto 35302","sto-35302","#5ba2ba"
"Sto 35303","sto-35303","#80bbcf"
"Sto 35304","sto-35304","#94c4d4"
"Sto 35305","sto-35305","#b1d5e0"
"Sto 35306","sto-35306","#bddce4"
"Sto 35307","sto-35307","#cde5e9"
"Sto 35308","sto-35308","#dbeceb"
"Sto 35309","sto-35309","#e3eeea"
"Sto 35310","sto-35310","#5c8ea0"
"Sto 35311","sto-35311","#6e9eaf"
"Sto 35312","sto-35312","#8db6c4"
"Sto 35313","sto-35313","#a0c4d0"
"Sto 35314","sto-35314","#b7d2da"
"Sto 35315","sto-35315","#c1dadf"
"Sto 35320","sto-35320","#688793"
"Sto 35321","sto-35321","#7b9ba6"
"Sto 35322","sto-35322","#8ca8b1"
"Sto 35323","sto-35323","#a7bfc4"
"Sto 35324","sto-35324","#baccce"
"Sto 35330","sto-35330","#5b727e"
"Sto 35331","sto-35331","#6f8a97"
"Sto 35332","sto-35332","#809ba7"
"Sto 35333","sto-35333","#8ba1ad"
"Sto 35334","sto-35334","#a1b8c1"
"Sto 35335","sto-35335","#b4c7cc"
"Sto 35336","sto-35336","#c3d2d5"
"Sto 35337","sto-35337","#dbe5e1"
"Sto 35340","sto-35340","#44778a"
"Sto 35341","sto-35341","#5c7c88"
"Sto 35342","sto-35342","#566872"
"Sto 35400","sto-35400","#2e7d82"
"Sto 35401","sto-35401","#4d979c"
"Sto 35402","sto-35402","#62a5aa"
"Sto 35403","sto-35403","#84bdc0"
"Sto 35404","sto-35404","#9bc9cd"
"Sto 35405","sto-35405","#b3d6d8"
"Sto 35406","sto-35406","#bfdddd"
"Sto 35407","sto-35407","#cee4e4"
"Sto 35408","sto-35408","#dcecea"
