"MD-Color CM595","md-color-cm595","#c9bb9c"
"MD-Color CM596","md-color-cm596","#b6a582"
"MD-Color CM597","md-color-cm597","#af9b7d"
"MD-Color CM598","md-color-cm598","#9b8667"
"MD-Color CM599","md-color-cm599","#857155"
"MD-Color CM600","md-color-cm600","#ece7d9"
"MD-Color CM601","md-color-cm601","#eae1d0"
"MD-Color CM602","md-color-cm602","#e3dac5"
"MD-Color CM603","md-color-cm603","#d9cdb3"
"MD-Color CM604","md-color-cm604","#c8b797"
"MD-Color CM605","md-color-cm605","#eccf9a"
"MD-Color CM606","md-color-cm606","#e4be7f"
"MD-Color CM607","md-color-cm607","#d5a55c"
"MD-Color CM608","md-color-cm608","#c8944b"
"MD-Color CM609","md-color-cm609","#bd873e"
"MD-Color CM610","md-color-cm610","#eed89c"
"MD-Color CM611","md-color-cm611","#e6c780"
"MD-Color CM612","md-color-cm612","#dbb162"
"MD-Color CM613","md-color-cm613","#d2a450"
"MD-Color CM614","md-color-cm614","#d19945"
"MD-Color CM615","md-color-cm615","#e5cca4"
"MD-Color CM616","md-color-cm616","#d9ba8a"
"MD-Color CM617","md-color-cm617","#c29b65"
"MD-Color CM618","md-color-cm618","#b28952"
"MD-Color CM619","md-color-cm619","#9e7543"
"MD-Color CM620","md-color-cm620","#f2ebda"
"MD-Color CM621","md-color-cm621","#f4e9d4"
"MD-Color CM622","md-color-cm622","#f2e2c9"
"MD-Color CM623","md-color-cm623","#ebdab9"
"MD-Color CM624","md-color-cm624","#d8c6a2"
"MD-Color CM625","md-color-cm625","#dac0a1"
"MD-Color CM626","md-color-cm626","#cdad88"
"MD-Color CM627","md-color-cm627","#b08b65"
"MD-Color CM628","md-color-cm628","#9f7a55"
"MD-Color CM629","md-color-cm629","#8f6a4a"
"MD-Color CM630","md-color-cm630","#e3e0db"
"MD-Color CM631","md-color-cm631","#dad8d2"
"MD-Color CM632","md-color-cm632","#ceccc5"
"MD-Color CM633","md-color-cm633","#c0bdb6"
"MD-Color CM634","md-color-cm634","#dac6ac"
"MD-Color CM635","md-color-cm635","#ddb99b"
"MD-Color CM636","md-color-cm636","#d0a381"
"MD-Color CM637","md-color-cm637","#b4825e"
"MD-Color CM638","md-color-cm638","#a47150"
"MD-Color CM639","md-color-cm639","#946245"
"MD-Color CM640","md-color-cm640","#f3e7d7"
"MD-Color CM641","md-color-cm641","#f3e2d0"
"MD-Color CM642","md-color-cm642","#eed8c4"
"MD-Color CM643","md-color-cm643","#e6cbb3"
"MD-Color CM644","md-color-cm644","#d0b49b"
"MD-Color CM645","md-color-cm645","#d9bfab"
