"Scala 84-09-21","scala-84-09-21","#8a9a72"
"Scala 84-15-15","scala-84-15-15","#afce80"
"Scala 84-15-18","scala-84-15-18","#93bc62"
"Scala 84-21-06","scala-84-21-06","#d4e6b9"
"Scala 87-03-06","scala-87-03-06","#ddded4"
"Scala 87-03-12","scala-87-03-12","#babcb1"
"Scala 87-03-18","scala-87-03-18","#93948a"
"Scala 87-03-21","scala-87-03-21","#7c7e74"
"Scala 87-06-03","scala-87-06-03","#eaebd9"
"Scala 87-06-06","scala-87-06-06","#dfe2ca"
"Scala 87-06-09","scala-87-06-09","#d0d3bb"
"Scala 87-06-12","scala-87-06-12","#c2c5ac"
"Scala 87-06-15","scala-87-06-15","#acb195"
"Scala 87-09-12","scala-87-09-12","#bdc497"
"Scala 87-12-09","scala-87-12-09","#c5d88b"
"Scala 87-15-03","scala-87-15-03","#e8edb9"
"Scala 90-03-06","scala-90-03-06","#dddccd"
"Scala 90-03-09","scala-90-03-09","#cdcdbc"
"Scala 90-03-18","scala-90-03-18","#b3b0a0"
"Scala 90-03-19","scala-90-03-19","#98978b"
"Scala 90-06-03","scala-90-06-03","#ebead8"
"Scala 90-09-06","scala-90-09-06","#dfe1bf"
"Scala 90-12-09","scala-90-12-09","#d3d49c"
"Scala 90-12-12","scala-90-12-12","#c9ca7b"
"Scala 93-03-06","scala-93-03-06","#ecebe2"
"Scala 93-03-12","scala-93-03-12","#d9d3bc"
"Scala 93-03-18","scala-93-03-18","#b2ab91"
"Scala 93-03-21","scala-93-03-21","#908971"
"Scala 96-18-01","scala-96-18-01","#f1ecd6"
"Scala 96-18-02","scala-96-18-02","#f4e9bc"
"Scala 96-18-03","scala-96-18-03","#f5e6a8"
"Scala 96-21-06","scala-96-21-06","#f7e38d"
"Scala 99-00-03","scala-99-00-03","#ecece6"
"Scala 99-00-09","scala-99-00-09","#e0e1de"
"Scala 99-00-12","scala-99-00-12","#d4d5d3"
"Scala 99-00-18","scala-99-00-18","#c1c2c2"
"Scala 99-00-21","scala-99-00-21","#b6b7b7"
"Scala 99-00-24","scala-99-00-24","#adafaf"
"Scala 99-00-27","scala-99-00-27","#a0a1a2"
"Scala 99-00-33","scala-99-00-33","#8f9091"
"Scala 99-00-39","scala-99-00-39","#7a7c7d"
"Scala 99-00-48","scala-99-00-48","#5f6063"
"Scala 99-00-54","scala-99-00-54","#4d4d50"
"Scala 99-00-60","scala-99-00-60","#3f3f43"
