"TRUMATCH 11-a","11-a","#ffe400"
"TRUMATCH 11-b","11-b","#ffe936"
"TRUMATCH 11-c","11","#ffec66"
"TRUMATCH 11-d","11-d","#fff08f"
"TRUMATCH 11-e","11-e","#fff5b2"
"TRUMATCH 11-f","11-f","#fff9d1"
"TRUMATCH 11-g","11-g","#fffbec"
"TRUMATCH 11-a1","11-a1","#fadb00"
"TRUMATCH 11-b1","11-b1","#fadf36"
"TRUMATCH 11-c1","11-c1","#f9e264"
"TRUMATCH 11-d1","11-d1","#f8e68b"
"TRUMATCH 11-e1","11-e1","#f7ebac"
"TRUMATCH 11-d5","11-d5","#c7ba75"
"TRUMATCH 11-e5","11-e5","#c6be8f"
"TRUMATCH 11-a2","11-a2","#edd000"
"TRUMATCH 11-b2","11-b2","#edd437"
"TRUMATCH 11-c2","11-c2","#ecd761"
"TRUMATCH 11-d2","11-d2","#ebdb85"
"TRUMATCH 11-e2","11-e2","#ebdfa5"
"TRUMATCH 11-a5","11-a5","#c8b100"
"TRUMATCH 11-b5","11-b5","#c8b437"
"TRUMATCH 11-c5","11-c5","#c7b757"
"TRUMATCH 11-a3","11-a3","#e1c600"
"TRUMATCH 11-b3","11-b3","#e1ca37"
"TRUMATCH 11-c3","11-c3","#e0cd5e"
"TRUMATCH 11-d3","11-d3","#e0d080"
"TRUMATCH 11-e3","11-e3","#dfd59e"
"TRUMATCH 11-a6","11-a6","#bca706"
"TRUMATCH 11-b6","11-b6","#bcaa37"
"TRUMATCH 11-c6","11-c6","#bbad54"
"TRUMATCH 11-a4","11-a4","#d5bc00"
"TRUMATCH 11-b4","11-b4","#d5c037"
"TRUMATCH 11-c4","11-c4","#d4c25b"
"TRUMATCH 11-d4","11-d4","#d4c67b"
"TRUMATCH 11-e4","11-e4","#d3ca97"
"TRUMATCH 11-a7","11-a7","#b09d10"
"TRUMATCH 11-b7","11-b7","#b0a036"
"TRUMATCH 11-c7","11-c7","#afa250"
"TRUMATCH 12-a","12-a","#ffed00"
"TRUMATCH 12-b","12-b","#ffef34"
"TRUMATCH 12-c","12","#fff267"
"TRUMATCH 12-d","12-d","#fff590"
"TRUMATCH 12-e","12-e","#fff8b3"
"TRUMATCH 12-f","12-f","#fffbd2"
"TRUMATCH 12-g","12-g","#fffded"
"TRUMATCH 12-h","12-h","#fffef6"
"TRUMATCH 12-a1","12-a1","#fbe200"
"TRUMATCH 12-b1","12-b1","#fbe535"
"TRUMATCH 12-c1","12-c1","#fae764"
"TRUMATCH 12-d1","12-d1","#f9ea8c"
"TRUMATCH 12-e1","12-e1","#f8edad"
"TRUMATCH 12-f1","12-f1","#f6f0ca"
"TRUMATCH 12-d5","12-d5","#c8be76"
"TRUMATCH 12-e5","12-e5","#c7c190"
"TRUMATCH 12-a2","12-a2","#eed700"
"TRUMATCH 12-b2","12-b2","#eed936"
"TRUMATCH 12-c2","12-c2","#eddc62"
"TRUMATCH 12-d2","12-d2","#ecdf86"
"TRUMATCH 12-e2","12-e2","#ebe2a6"
"TRUMATCH 12-a5","12-a5","#c9b700"
"TRUMATCH 12-b5","12-b5","#c9b937"
